title,reviewer_name,verified_homebuyer,date,location,review_text,total_score,quality,trustworthiness,value,responsiveness
Great experience with Shea Homes,Anonymous,Yes,2025-06-28,"Conroe, TX","I've had nothing but great experiences with Shea homes. From initial meeting with Matt, the home builder Zack, and follow up with warranty rep Brandon. These guys have all been A+. I would definitely buy from them again if I were in the market.",5,5,5,5,5
Positive home purchasing experience,James B.,Yes,2025-06-18,"Pleasant Hill, CA","My wife and I purchased from Shea Homes. We looked at many homes and this was the one that stood out that we came back to after viewing others. The Shea team was friendly, helpful and went above and beyond to make this work out. We needed to sell another house and they worked with us around contingencies, timing, and ensuring it worked out. The follow up after move-in has been great and we are very happy in our Shea Home.",5,5,5,5,5
Wonderful…,John K.,Yes,2025-06-15,"Las Vegas, NV","Our first day at the sales almost turned us off. When my wife asked a question, the salesperson, said, “You weren’t listening.” After this initial experience, that sales agent was friendly, helpful, and professional. Frankie, our construction manager was exceptionally friendly, professional, and knowledgeable. He kept in consistent contact with us. Theresa, our warranty representative, has been professional and timely service so far.",5,5,5,5,5
Great,Uvaldo L.,Yes,2025-06-13,"Hollister, CA",Whole process went smoothly,5,5,5,5,5
Jacqui was AMAZING!!,Anonymous,Yes,2025-06-04,"Ontario, CA","Jacqui and Mei are such a wonderful team. Trustworthy and transparent, I couldn't be happier. Thank. you both!",5,5,5,5,5
Joey was great in responding to my questions and fulfilling my requests. I could not have a better builder.,Thomas H.,Yes,2025-05-28,"Conroe, TX","The builder,Joey and the warranty person, Brandon have been easy to work with. I am still waiting on the mail boxes to be installed to save me a trip to the Conroe Post Office.",5,5,5,5,5
High quality & easy!,Anonymous,Yes,2025-05-27,"Conroe, TX","I had a very smooth purchase experience especially for my first time. Sales counselor Matt and construction manager Jorge, took such great care of me. I love my house!",5,5,5,5,5
Quality home builder with a classy group of sales and lending professionals,Greg H.,Yes,2025-05-27,"Bonney Lake, WA","My wife and I had almost got sucked into a very poor build quality home in the black diamond area by a different builder. Fortunately for us, their inept finance team took long enough for us to miss a closing, and realize that multiple issues with the home would never be addressed. A walk-through with a sign off on things yet to be done and extremely poor quality issues not addressed like tile work that looked like it was done by an amateur. These guys are the real deal, are exactly what they say they are and nothing more- good people and quality home.",5,5,5,5,5
comfortable,Liqi B.,Yes,2025-05-27,"Ontario, CA","The environment is comfortable and quiet, the property staff is competent, and the neighbors are friendly and harmonious.",5,5,5,5,5
Multigenerational-friendly,Susan C.,Yes,2025-05-20,"Parker, CO","We built a nest egg and sold it to buy this home for us, our daughter and mom. Also because it will grow in equity much faster than the established neighborhood we were in. We are thrilled with the home and saw 30k of equity before we even moved in! Our nest egg is growing while we get to enjoy it! I hope more people knew about this opportunity.",5,5,5,5,5
Everybody,Ronald P.,Yes,2025-05-07,"Brentwood, CA",Every experiance I have with a Shea employee has been wonderful!,5,5,5,5,5
Sales Team is Awesome and Caring,Amit S.,Yes,2025-05-07,"Tracy, CA",I always received warm welcome and caring attitude from Shea Homes during process of puchasing the house. Also during the process of closing Finance Team and Shea Team took all the process very carefully with due deligence. Wishing them all the best and keep building quality homes...,5,5,5,5,5
"Nancy, Alex and Scott took us through the process very professionally. Excellent home, excellent customer services.",Nicholas C.,Yes,2025-05-07,"Peoria, AZ","Nancy, Alex and Scott (realtor, site superintendent and quality controller) were responsive and helpful through the entire process. The home/prduct are excellent.",5,5,5,5,5
Great experience,Komal S.,Yes,2025-04-30,"Littleton, CO",Overall experience of home buying was great. We were informed about every step of the home building process. Questions were answered without any hidden details. Lending process through the builder was not as pleasant as we thought. Overall highly recommended shea for build quality and craftsmanship. Happy to be in our new home.,5,5,5,5,5
Very satisfied,Leonardo J.,Yes,2025-04-30,"Kuna, ID","This house is perfect to me really well-built floors, walls, cabinets, I like the bathrooms, garage, the lighting, to me the home is built with top quality material. The design inside and outside is excellent; I am a Retired 20yr Navy Veteran I have had 4 homes and this is by far is the best. Sanel and Brian were Outstanding showed me how everything works all warranties, all apps for smart home they did this with great care and kindness, Very Professional with a Great Personality, Thank you for this nice fancy and Beautiful Hilton type Home with a Great Environment.",5,5,5,5,5
Best New Home Ever,Sarah W.,Yes,2025-04-29,"Chula Vista, CA",Alex and Josephine were absolutely amazing! They were both so patient and really listened to what our family needs were in our new home purchase. We have three kids and one with special needs to the attention to detail was everything!,5,5,5,5,5
Shea Homes is the best!!,Robin F.,Yes,2025-04-29,"Las Vegas, NV",My overall experience with Shea Homes was excellent from start to finish. They communicated in a timely manner and there were very few issues during the process. Whenever I had questions they were quick to respond and address any issues that came up. I highly recommend them as a builder and am very happy with my new Shea Home.,5,5,5,5,5
Great opportunity and Great Value,Terrilyn M.,Yes,2025-04-22,"Queen Creek, AZ",We were welcome to the Shea experience with Carmen. Every step made with the Shea team has been remarkable. Brian and Crue are excellent team players that continue to take care of every concern. We love Shea Homes!! Very satisfied with the quality of our home.,5,5,5,5,5
From Beginning to End!,Darcy D.,Yes,2025-04-08,"Littleton, CO","From beginning to end, I’ve had nothing but a great experience. I particularly appreciate the attention to detail from each superintendent. Brandon was fantastic to work with. I love my home!!",5,5,5,5,5
Sales and Warranty have been great,William B.,Yes,2025-04-03,"Encinitas, CA",Great experience and responses to anything we needed.,5,5,5,5,5
Best homebuying experience out of the 5 homes we've purchased in our lifetime.,Daniel G.,Yes,2025-04-03,"Denver, NC",Great home - attention to detail matters. Great support and follow up after moving in. I would buy another home from Shea without hesitation.,5,5,5,5,5
Dillon in Sales and Paul in Construction,Harry H.,Yes,2025-04-02,"Kuna, ID","Dillon was very helpful with floor plan options, design options and selection of colors and materials. He was easy to work with and very knowledgeable. Paul was a great help in monitoring the construction process and the timeline He provided texts and emails regarding progress and periodic inspections in a timely manner. Paul was right there with us on the final walkthrough and the one month follow up. I appreciate his attention to detail including every item no matter how small.",5,5,5,5,5
Very pleasant buying experience.,Dennis M.,Yes,2025-04-02,"Wickenburg, AZ",We enjoyed the whole process. We looked at several homes. Sales team was very accommodating in showing us different floor plan thoroughly covered the HOA situation and the features in each smart home. Ultimately everything happened exactly as it was described to us.,5,5,5,5,5
Great experience!,Gerald R.,Yes,2025-03-06,"Kuna, ID",Everyone i have dealt with was so helpful and professional.,5,5,5,5,5
Incentives,Janice B.,Yes,2025-03-04,"Bonney Lake, WA",We were treated well throughout the process. We love our new home and so happy to be here. We purchased a “quick” move in home. The team at Verterra and shea homes made it very easy..,5,5,5,5,5
Quality and responsiveness,Kenneth H.,Yes,2025-02-19,"OCALA, FL","The sales experience, including loan process, was as good as could be. Special thanks to Abbie and Larry respectfully. From the walk through and subsequent warranty issues were met with great responsiveness and follow up. Continued thanks to Dan.",5,5,5,5,5
Matt was great. We worked great together,Andre A.,Yes,2025-02-19,"Conroe, TX",Being our second Shea home we have come to expect quality and professional personnel and that’s what we got. Another great experience! Highly recommend Shea Homes…,5,5,5,5,5
Sales team did an awesome job!,Felipe L.,Yes,2025-02-18,"Chula Vista, CA",Josephine and Alex made the process very enjoyable. We really appreciate making the home buying process very easy.,5,5,5,5,5
High Quality and Super Responsive,James K.,Yes,2025-02-18,"Seaside, CA","Warranty specialist is on-site and very helpful in making sure all appliances and home features are working as they should. The service specialists are friendly, efficient and timely. Multiple check in periods throughout the year. Helpful interacting with the HOA.",5,5,5,5,5
Happy Shea customer,Travis D.,Yes,2025-02-18,"Parker, CO",The entire process has been top notch. The sales team including Donna were extremely helpful. The quality of the home is top notch and built very well. The entire team helped me the entire way through the process and made it all easy with lots of updates. I just finished the one month warranty walk through and they went above and beyond to help with items as well. A ++,5,5,5,5,5
Debbie,Albert M.,Yes,2025-02-13,"Hollister, CA","Pleasent, easy to work with, very nice personality. Made us feel like we wanted to comr back for another visit anytime.",5,5,5,5,5
Mitch and Jacob were outstanding,Sky F.,Yes,2025-02-11,"Littleton, CO","From the sales experience to the delivery of our home and follow up, all expereinces have been exceptional!",5,5,5,5,5
Five stars,Alexendra C.,Yes,2025-02-10,"Seaside, CA",Always appreciate how responsive Octavio is!,5,5,5,5,5
Quality home at a fair price,Shawn B.,Yes,2025-01-29,"Ventura, CA",My experience with Shea Homes as a first time new home buyer went extremely well. Information was provided efficiently and all the staff is knowledgeable and available. Emails are responded to quickly and the home delivered on time. The quality is great and any need with the construction is timely solved. The people who have moved in around us are happy as well.,5,5,5,5,5
Great first time homeowner experience with Shea Homes!,Alok S.,Yes,2025-01-28,"Katy, TX","Shea Homes built our first home, and gave us an excellent experience throughout the home buying process. Sales staff was excellent and extremely knowledgeable, the construction process was well explained and generally well on schedule and updates throughout the process. We had a minor hiccup in the early phases of construction but it was resolved to our satisfaction and corrected quickly. The warranty service has been excellent thus far (~3 months into our home now!)",5,5,5,5,5
Ken has been very responsive,Kevin B.,Yes,2025-01-23,"Brentwood, CA","Post sale, Ken has been very responsive and great to work with. When he says he is going to do something he does it and keeps me informed.",5,5,5,5,5
Crossbridge,Curtis A.,Yes,2025-01-17,"Castle Rock, CO",Seamless experience from start to finish with attention to detail.,5,5,5,5,5
Great New Home Buying Experience,Anne L.,Yes,2025-01-14,"Encinitas, CA","This Is my 2nd Shea Home and the quality has been excellent. I work in the industry and the customer service is the best I’ve seen. Everyone stays on top of the whole process from the initial sale, through the construction walks, move-in, warranty etc. You can always reach someone and you always get a quick response and any problems are taken care of immediately. That is hard to find these days!",5,5,5,5,5
"Great Sales and Constriction team, very pleasant experience",Khurram A.,Yes,2025-01-12,"Peoria, AZ",Great experience working with Sales and Construction team. Design center and Electrical appointments was also very pleasant. Shea Mortgage is very cooperative and made the whole closing experience a breeze. I am extremely happy with the entire home buying process through Shea. Modern elevation adds a very attractive look.,5,5,5,5,5
An overall great experience from start to finish,James B.,Yes,2025-01-09,"Manvel, TX","Our experience with Shea Homes has been outstanding. From the initial process of selecting options with Josh, our sales representative, to the construction process with Jeremi, our construction manager, everyone at Shea has been terrific. Our construction manager was particularly great. He kept us informed of what was happening on site, and communicated with us at every step. He was also exceptional at keeping up with even the small details and was very responsive to our needs and wants. Building a home can be stressful, but Shea Homes made it much easier, particularly in our case as we wereliving over 250 miles away. We love our new home and would like to thank everyone involved in bringing our dreams to reality.",5,5,5,5,5
Outstanding,Bruce P.,Yes,2025-01-03,"Manvel, TX",From the beginning with Keith and the middle with Mike and end with Tina was a spectacular experience. We’re here proud of our home and our family and friends love it,5,5,5,5,5
Everything I wanted,Prince S.,Yes,2025-01-03,"Littleton, CO","My wife and I settled on Shea homes after vetting all available new builders in Littleton. Their house designs are simple, stylish and very well laid out. Sandwiched between state parks and chatfield lake, the location of solstice neighborhood is one of a kind. Their personnel from sales team and construction managers were all very welcoming and responsive throughout the process. We can say enough good things about our experience with Shea.",5,5,5,5,5
